"Genetic ID (suffices: "".DG"" is a high coverage shotgun genome with diploid genotype calls; "".SG"" is a high coverage shotgun genome with diploid genotype calls; "".AG,  .TW, .BY, .AA, .EC, .WGC""  are Agilent 1240K or Twist Ancient DNA or ""Big Yoruba"" or ""Archaic Admixture"" or ""Exome"" or ""Whole-Genome Capture"" data respectively; each analyzed position is represented by a randomly chosen sequence allowing for combinations when merged (separable by readgroups if possible).  "".HO"" is Affymetrix Human Origins genotype data and ""REF"" is reference haploid data.",Persistent Genetic ID,Individual ID,Skeletal code,Skeletal element,"First publication: Abbreviation for earliest paper that reported data from this individual (this is not always the same as the data being analyzed, which may be from a different or improved dataset)",Publication abbreviation,doi for publication of this representation of the data,Link to the most permanent repository hosting these data,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990+-40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE","Age at death, Morphological sex from physical anthropology",Group ID,Locality,Political Entity,Latitude,Longitude,Pulldown Strategy,Suffices (indicating data types used for sources which can be a subset of that in bam),Data type,No. Libraries,Mean coverage on 1.15M autosomal targets for full bam (if no off-target entry not up-to-date),"Mean coverage on non-targeted autosomal SNPs for full bam - not yet computed if """".."""" and bam restricted to on-target SNPs if """"0""""",SNPs hit on autosomal targets (Computed using easystats on enhance 2M capture subset) ,SNPs hit on autosomal targets (Computed using easystats on 1240k snpset),SNPs hit on autosomal targets (Computed using easystats on HO snpset),SNPs hit on autosomal targets (Computed using easystats on Compatibility snpset),SNPs hit on autosomal targets (Computed using easystats on Compatibility_HO snpset),Molecular Sex,Family relations,Sum total of ROH segments >20cM,Sum total of ROH segments >20cM.1,Y haplogroup in terminal mutation notation automatically called based on Y-full 12.03 with the software described in Lazaridis et al. Science 2022,Y haplogroup  in ISOGG notation automatically called based on Yfull 12.03 with the software described in Lazaridis et al. Science 2022,Y haplogroup manually called if different from automatic,mtDNA coverage (merged data),mtDNA haplogroup if >2x or published,"mtDNA match to consensus if >10x (merged data) [estimates are typically off by (uncorrected + power(10,-0.271*LOG(mt-coverage)-1.120)]",Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data),Sex ratio [Y/(Y+X) counts] (merged data),ANGSD MOM 95% CI truncated at 0 (only if male and >=200 SNPs) [estimates are typically 0.005 too high],hapConX 95% CI truncated at 0 (only if male and >=2000 SNPs covered on X chromosome) [estimates are typically 0.005 too high],"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)",Libraries,endogenous by library (computed on shotgun data),ASSESSMENT,"ASSESSMENT WARNINGS: X contamination interval is listed if lower bound is >=0.005 for either ANGSD or hapConX, ""QUESTIONABLE"" if lower bound is 0.015-0.035 for hapConX (or ANGSD if no hapConX computation), ""CRITICAL"" or ""FAIL"" if lower bound is >0.03  for hapConX (or ANGSD if no hapConX computation) |mtcontam confidence interval is listed if coverage >10 and upper bound is <0.98, ""QUESTIONABLE"" if upper bound is 0.9-0.95; ""CRITICAL"" if upper bound is <0.9, QUESTIONABLE status gets overriden by ANGSD or hapConX if upper bound of contamination estimate is <0.01 | damage for ds.half is ""CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1 | sex.ratio is QUESTIONABLE if [0.03,0.1) or (0.30,0.32]; CRITICAL/FAIL if [0.1,0.3] | f4(All,Damage;CEU,CHB) for non-damage-restricted samples is ""CRITICAL/FAIL"" if |Z|>=3.5, QUESTIONABLE if 3.5>Z>=3.0, listed if Z>=2.0",subpopulation,date_CE
CL102.AG,55,CL102,CL102,petrous (cochlea),AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,0.51579601,0.04536189,620329,423599,219050,397366,103350,F,"1.0d mother-daughter:CL102:CL87,2.5d:CL102:CL84,2.5d:CL102:CL83",0,0,n/a (female),n/a (female),n/a (female),8.19,H1i2,n/a (<10x),0.1025,..,n/a (female),n/a (female),ds.half,..,0.34658,Pass,..,Italian_Central_Med,600
CL110.AG,56,CL110,CL110,..,AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI.sequence.read.archive.(SRA).database.under.accession.#.SRP132561.(1240.capture.data).&.SRP132581.(WGS.data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-4,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,0.03130869,0.00088267,35600,24319,12394,22763,5829,M,2.5d:CL110:CL121,n/a (<300K SNPs),n/a (<300K SNPs),K,K,..,0.03,n/a (<2x),n/a (<10x),0.2198,..,..,n/a (<2000 X SNPs),ds.minus,..,0.34801,Pass,..,Italian_Central_Med,600
CL121.AG,57,CL121,CL121,petrous (cochlea),AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-3,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,3.17073557,0.07045505,1307806,868719,457334,835328,215079,M,2.5d:CL110:CL121,0,0,R-BY125315,S1a1b1d,..,15.91,T2b,..,0.1126,..,"[0.003,0.012]","[0.004,0.008]",ds.half,..,0.35535,Pass,..,Italian_Central_Med,600
CL145.AG,58,CL145,CL145,petrous (cochlea),AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,2.87212757,0.06082805,1257469,838147,440939,800722,207260,M,"1.0d brothers:CL145:CL146,1.0d son-mother:CL145:CL151,2.5d:CL145:CL92,2.5d:CL145:CL93",0,0,R-S17624,R1b1a1b1a1a,..,6.55,T2b,n/a (<10x),0.1022,..,"[0.003,0.013]","[0.003,0.007]",ds.half,..,0.29023,Pass,..,Italian_Central_Med,600
CL146.AG,59,CL146,CL146,petrous (cochlea),AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,3.07700156,0.08107891,1285420,849289,447138,820592,210086,M,"1.0d brothers:CL145:CL146,1.0d son-mother:CL146:CL151,2.5d:CL146:CL92,2.5d:CL146:CL93",0,0,R-S17624,R1b1a1b1a1a,..,12.56,T2b3,..,0.1042,..,"[0,0.006]","[0.002,0.005]",ds.half,..,0.35136,Pass,..,Italian_Central_Med,600
CL151.AG,60,CL151,CL151,petrous (cochlea),AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,1.79240318,0.03849312,1094502,744519,391131,691916,182717,F,"1.0d son-mother:CL145:CL151,1.0d son-mother:CL146:CL151",0,0,n/a (female),n/a (female),n/a (female),4.54,T2b,n/a (<10x),0.1332,..,n/a (female),n/a (female),ds.half,..,0.32307,Pass,..,Italian_Central_Med,600
CL23.AG,61,CL23,CL23,petrous (cochlea),AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,3.25137858,0.08808271,1309182,865420,455929,836804,214543,M,..,0,0,T-Y144958,T1a2b1,..,14.1,H,..,0.1005,..,"[0,0.008]","[0.004,0.008]",ds.half,..,0.36201,Pass,..,Italian_Central_Med,600
CL25.AG,62,CL25,CL25,petrous (cochlea),AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-3,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,1.2925192,0.0356773,1040555,707033,369793,660139,173196,F,..,102.419597,102.419597,n/a (female),n/a (female),n/a (female),7.96,H,n/a (<10x),0.0854,..,n/a (female),n/a (female),ds.half,..,0.31351,Pass,..,Italian_Central_Med,600
CL30.AG,63,CL30,CL30,petrous (cochlea),AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards-3,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,2.75732789,0.07210324,1274344,842607,443632,813396,208618,M,..,0,0,R-L151,R1b1a1b1a1a,..,17.07,I1b,..,0.0941,..,"[0.002,0.01]","[0.003,0.007]",ds.half,..,0.31555,Pass,..,Italian_Central_Med,600
CL31.AG,64,CL31,CL31,petrous (cochlea),AmorimVeeramahNatComm2018,AmorimVeeramahNatComm2018,https://doi.org/10.1038/s41467-018-06024-4,NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data),Context: Archaeological,1350,29.0,550-650 CE,..,Italy_Piedmont_North_EarlyMedieval_Lombards,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Native Pulldown on 3.2M snpset,AG,1240k,..,2.43138552,0.05365942,1233682,816869,430587,786538,202312,M,..,0,0,G-Z6653,G2a,..,10.78,H18,..,0.0825,..,..,"[0.348,0.369]",ds.half,..,0.34568,CRITICAL,"hapConX=[0.348,0.369]",Italian_Central_Med,600
